SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  150.6000	    17.7500	    14.0042	 31006.0595	   703.4156	 31709.4751	   998.0100	   998.0100	   849.1700	   391.8000	     4.3140	    32.8300	   697.8200	 regenerative cooling, opposite flow	 
  153.4700	    17.6000	    14.1361	 31154.1782	   653.4909	 31807.6691	   999.5100	   999.5100	   850.2200	   388.2300	     4.3360	    33.0200	   701.7900	 regenerative cooling, opposite flow	 
  160.0300	    19.5900	    11.3754	 25127.1525	   310.4311	 25437.5836	   953.8800	   953.8800	   834.4400	   380.2200	     4.3780	    27.7800	   711.0300	 regenerative cooling, opposite flow	 
  166.6000	    21.9300	     9.1638	 20324.4781	   213.8801	 20538.3583	   923.1200	   923.1200	   826.5900	   372.4400	     4.4090	    23.1000	   719.9400	 regenerative cooling, opposite flow	 
  173.1600	    24.1400	     7.6254	 16927.5811	   172.1349	 17099.7160	   905.6800	   905.6800	   825.2900	   365.1900	     4.4290	    19.6800	   727.5000	 regenerative cooling, opposite flow	 
  179.7200	    26.2200	     6.5084	 14451.5331	   146.4504	 14597.9835	   893.1400	   893.1400	   824.4800	   358.3400	     4.4440	    17.0800	   734.6200	 regenerative cooling, opposite flow	 
  186.2800	    28.1900	     5.6674	 12577.0102	   126.8742	 12703.8844	   884.6000	   884.6000	   824.8000	   351.8200	     4.4560	    15.0600	   741.3000	 regenerative cooling, opposite flow	 
  192.8400	    30.0300	     5.0143	 11101.3604	   112.3400	 11213.7003	   881.6600	   881.6600	   828.8800	   345.5600	     4.4640	    13.4700	   747.2500	 regenerative cooling, opposite flow	 
  199.4000	    31.7700	     4.4993	  9938.7493	   101.1059	 10039.8552	   879.6400	   879.6400	   832.3900	   339.5400	     4.4710	    12.1800	   752.9900	 regenerative cooling, opposite flow	 
  205.9600	    33.3900	     4.0858	  9006.3357	    91.9412	  9098.2769	   878.3200	   878.3200	   835.4900	   333.6900	     4.4770	    11.1200	   758.5400	 regenerative cooling, opposite flow	 
  212.5200	    34.9000	     3.7451	  8221.7682	    83.5237	  8305.2919	   882.0100	   882.0100	   842.9100	   328.0100	     4.4820	    10.2500	   763.6000	 regenerative cooling, opposite flow	 
  219.0800	    36.3200	     3.4640	  7575.0565	    76.8806	  7651.9371	   886.0100	   886.0100	   850.0000	   322.4800	     4.4860	     9.5300	   768.4900	 regenerative cooling, opposite flow	 
  225.6400	    37.6300	     3.2303	  7038.8206	    71.3804	  7110.2011	   889.7600	   889.7600	   856.3200	   317.0600	     4.4900	     8.9100	   773.2600	 regenerative cooling, opposite flow	 
  232.2000	    38.8400	     3.0331	  6582.8727	    66.5906	  6649.4634	   894.8600	   894.8600	   863.5800	   311.7500	     4.4930	     8.3900	   777.8900	 regenerative cooling, opposite flow	 
  238.7600	    39.9600	     2.8635	  6179.3677	    62.7700	  6242.1377	   904.1500	   904.1500	   874.8100	   306.5300	     4.4960	     7.9500	   782.1700	 regenerative cooling, opposite flow	 
  249.7000	    41.6300	     2.6364	  5642.0224	    57.4425	  5699.4649	   917.6300	   917.6300	   890.8600	   298.0000	     4.5000	     7.3400	   789.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
