SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  160.0300	    19.5900	     4.0208	  9917.4112	   186.3966	 10103.8078	   696.2600	   696.2600	   648.8500	   337.6200	     4.3770	    13.6500	   754.7400	 regenerative cooling, opposite flow	 
  166.6000	    21.9300	     3.3232	  8233.5696	   128.5589	  8362.1284	   663.4000	   663.4000	   624.1500	   333.9100	     4.3860	    13.5800	   758.2800	 regenerative cooling, opposite flow	 
  173.1600	    24.1400	     2.8187	  7006.9021	   103.6894	  7110.5914	   639.7600	   639.7600	   606.3500	   330.4200	     4.3950	    13.5300	   761.4200	 regenerative cooling, opposite flow	 
  179.7200	    26.2200	     2.4428	  6088.3140	    88.6312	  6176.9452	   621.2400	   621.2400	   592.1900	   327.1300	     4.4030	    13.4700	   764.3400	 regenerative cooling, opposite flow	 
  186.2800	    28.1900	     2.1551	  5383.0952	    77.1747	  5460.2699	   605.9200	   605.9200	   580.2200	   323.9800	     4.4120	    13.4200	   767.1200	 regenerative cooling, opposite flow	 
  192.8400	    30.0300	     1.9296	  4828.9773	    68.6377	  4897.6150	   593.0200	   593.0200	   569.9600	   320.9700	     4.4210	    13.3800	   769.7900	 regenerative cooling, opposite flow	 
  199.4000	    31.7700	     1.7495	  4385.2569	    62.1883	  4447.4452	   582.0100	   582.0100	   561.0500	   318.0600	     4.4300	    13.3300	   772.3600	 regenerative cooling, opposite flow	 
  205.9600	    33.3900	     1.6033	  4024.5194	    56.8739	  4081.3933	   572.4800	   572.4800	   553.2300	   315.2400	     4.4390	    13.2900	   774.8600	 regenerative cooling, opposite flow	 
  212.5200	    34.9000	     1.4828	  3726.1310	    52.0233	  3778.1543	   564.4400	   564.4400	   546.5800	   312.5000	     4.4480	    13.2500	   777.2600	 regenerative cooling, opposite flow	 
  219.0800	    36.3200	     1.3813	  3472.8377	    48.3577	  3521.1954	   558.5500	   558.5500	   541.9000	   309.8300	     4.4570	    13.2100	   779.4900	 regenerative cooling, opposite flow	 
  225.6400	    37.6300	     1.2963	  3260.7480	    45.1227	  3305.8707	   553.3400	   553.3400	   537.6900	   307.2100	     4.4660	    13.1700	   781.6800	 regenerative cooling, opposite flow	 
  232.2000	    38.8400	     1.2246	  3081.7998	    42.4973	  3124.2971	   548.7300	   548.7300	   533.9300	   304.6500	     4.4750	    13.1400	   783.8200	 regenerative cooling, opposite flow	 
  238.7600	    39.9600	     1.1638	  2929.9448	    40.4474	  2970.3922	   544.6500	   544.6500	   530.5800	   302.1300	     4.4840	    13.1000	   785.9100	 regenerative cooling, opposite flow	 
  249.7000	    41.6300	     1.0818	  2724.8956	    37.5479	  2762.4434	   538.8800	   538.8800	   525.7800	   298.0000	     4.5000	    13.0500	   789.3900	 regenerative cooling, opposite flow	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
