x_m,heat_flux_W_m2,heat_flux_conv_W_m2,heat_flux_rad_W_m2,T_wg_K,T_wl_K,T_c_K,h_g_W_m2K,T_aw_K,P_c_Pa,u_c_ms,rho_c_kgm3
0.0567883783277592,7507488.9901584685,6419444.079223556,1088044.9109349125,765.1932186651194,730.5760902975235,462.81135951972254,2593.707430280187,3240.200231514711,4114344.941175341,13.108789667812825,586.9890843803805
0.05762350153846155,7508753.055459783,6420701.685252427,1088051.370207356,764.8297235008909,730.2067666717713,462.3076823689671,2593.8346055533516,3240.200231514711,4114873.502070599,13.172237310260353,588.075662994262
0.058458624749163884,7510036.958025263,6421979.037263608,1088057.9207616549,764.4605613863491,729.8316846197085,461.8028479047366,2593.9637817132207,3240.200231514711,4115410.357246852,13.236432980085471,589.1578066313614
0.05929374795986623,7511340.221166675,6423275.661453998,1088064.5597126775,764.0858711129373,729.4509851309211,461.2968667424489,2594.09491103301,3240.200231514711,4115955.6726185805,13.301384169883992,590.2355917450395
0.06012887117056857,7512662.3825806845,6424591.098322928,1088071.284257756,763.705787306324,729.0648049628904,460.7897489693763,2594.2279472290734,3240.200231514711,4116509.617971475,13.367098575194916,591.30909226854
0.06096399438127091,7514002.993867407,6425924.9021932,1088078.0916742065,763.320440564908,728.6732767817181,460.28150415392133,2594.36284541248,3240.200231514711,4117072.367067946,13.433584095752714,592.3783797022244
0.06179911759197325,7515361.620078357,6427276.640761375,1088084.979316982,762.9299575899181,728.27652929431,459.7721413545975,2594.4995620435475,3240.200231514711,4117644.0977558396,13.500848836886918,593.4435231976694
0.06263424080267559,7516737.839291985,6428645.894675535,1088091.9446164502,762.5344613076351,727.8746873725556,459.2616691287427,2594.638054889158,3240.200231514711,4118224.9920804636,13.568901111067182,594.5045896387626
0.06346936401337794,7518131.242215085,6430032.2571387915,1088098.9850762931,762.1340709842303,727.4678721700047,458.7500955409817,2594.7782829826915,3240.200231514711,4118815.236400049,13.637749439589543,595.5616437200558
0.06430448722408028,7519541.431808041,6431435.333536534,1088106.0982715082,761.7289023337848,727.0562012316132,458.2374281714679,2594.920206586358,3240.200231514711,4119415.0215047617,13.707402554405304,596.6147480223748
0.06513961043478261,7520968.02293274,6432854.74108622,1088113.281846519,761.3190676198467,726.6397885969259,457.723674123915,2595.063787155814,3240.200231514711,4120024.5427393815,13.777869400088429,597.6639630859474
0.06597473364548495,7522410.642021336,6434290.108507959,1088120.5335133765,760.9046757510215,726.2187448971918,457.2088400334425,2595.2089873068903,3240.200231514711,4120644.0001297914,13.849159135941724,598.7093474811082
0.0668098568561873,7523868.926764672,6435741.075714622,1088127.8510500498,760.4858323709719,725.7931774468026,456.6929320742526,2595.355770784298,3240.200231514711,4121273.5985133955,13.921281138240529,599.7509578767194
0.06764498006688964,7525342.525818683,6437207.293519884,1088135.2322987989,760.0626399432595,725.3631903294865,456.17595596715154,2595.504102432146,3240.200231514711,4121913.5476736147,13.994245002613217,600.7888491064245
0.06848010327759198,7526831.098528022,6438688.423363397,1088142.6751646246,759.6351978312965,724.928884479536,455.65791698692954,2595.653948166208,3240.200231514711,4122564.0624785973,14.06806054655877,601.8230742328101
0.06931522648829432,7528334.314665239,6440184.137051452,1088150.1776137878,759.2036023738367,724.4903577584992,455.13881996961385,2595.805274947743,3240.200231514711,4123225.3630242976,14.1427378121001,602.8536846096283
0.07015034969899667,7529851.85418476,6441694.116512364,1088157.7376723955,758.7679469562618,724.0477050276022,454.6186693196143,2595.9580507588225,3240.200231514711,4123897.674782076,14.218287068574478,603.8807299421175
0.070985472909699,7531383.4069904545,6443218.053565407,1088165.3534250471,758.3283220779849,723.6010182162244,454.0974690167581,2596.112244579024,3240.200231514711,4124581.2287509795,14.294718815561362,604.9042583455088
0.07182059612040134,7532928.672715721,6444755.649702183,1088173.0230135377,757.884815416287,723.1503863867472,453.57522262324153,2596.2678263633875,3240.200231514711,4125276.2616148773,14.372043785947124,605.92431640185
0.07265571933110368,7534487.360515405,6446306.615879793,1088180.7446356125,757.437511886777,722.6958957959753,453.05193329049075,2596.4247670215677,3240.200231514711,4125983.0159046147,14.450272949128957,606.9409492151516
0.07349084254180603,7536059.188868406,6447870.672324638,1088188.5165437686,756.9864937008078,722.2376299534624,452.52760376595853,2596.5830383980638,3240.200231514711,4126701.7401653742,14.529417514357549,607.95420046499
0.07432596575250837,7537643.885390394,6449447.54834629,1088196.3370441038,756.5318404200157,721.7756696769136,452.0022363998513,2596.742613253474,3240.200231514711,4127432.68912943,14.609488934221526,608.9641124585596
0.0751610889632107,7539250.618841824,6451046.425979303,1088204.1928625207,756.073781006547,721.3102021362007,451.4758329452242,2596.9074266898137,3240.2002306744985,4128176.123894413,14.690498898811736,609.9707265741663
0.07599621217391304,7542702.0071141,6454492.171817621,1088209.835296479,755.6417622897789,720.8623637731858,450.94835477723404,2597.8429085631897,3240.2000666206054,4128932.312093448,14.772457519500552,610.9741585757698
