a1_mm,a_min_mm,a2_mm,H1_mm,H_min_mm,H2_mm,N,web_mm,max_Twg_K,max_Tc_K,Tc_out_K,delta_P_MPa
2.0,1.0,2.0,2.0,1.5,2.0,50,1.2118674294912926,1000.5923616644404,493.275829541842,493.275829541842,0.15022641553134378
2.0,1.0,2.0,2.5,1.5,2.0,50,1.2118674294912926,1000.8346672658472,493.0920876000737,493.0920876000737,0.1352767400830742
2.5,1.0,2.0,1.5,1.5,2.0,50,1.2118674294912926,1001.5846492616461,492.9760401681475,492.9760401681475,0.14978556828567294
1.5,1.0,2.0,1.5,1.0,2.0,30,2.6864457158188206,1001.6365288154711,491.9992757423848,491.9992757423848,1.1858820364078841
1.5,1.0,2.0,2.0,1.0,2.0,30,2.6864457158188206,1001.8275784362834,493.1215009037958,493.1215009037958,0.876807567417413
2.5,1.0,2.0,2.0,1.5,2.0,50,1.2118674294912926,1001.9418340464624,492.6435739158776,492.6435739158776,0.13212631841867417
1.5,1.0,2.0,2.5,1.0,2.0,30,2.6864457158188206,1002.2426989562439,492.81789487812557,492.81789487812557,0.733040226246364
2.5,1.0,2.0,2.5,1.5,2.0,50,1.2118674294912926,1002.3101342163378,492.3886250499454,492.3886250499454,0.1212472515937658
2.0,1.0,2.0,1.5,1.0,2.0,30,2.6864457158188206,1002.3168197680116,492.5565229019744,492.5565229019744,0.8718574194235802
2.0,1.0,2.0,2.0,1.0,2.0,30,2.6864457158188206,1002.8123862204325,492.05624392762695,492.05624392762695,0.7066562726147305
2.0,1.0,2.0,2.5,1.0,2.0,30,2.6864457158188206,1003.3032571003747,491.66621379517227,491.66621379517227,0.6225348751792135
2.5,1.0,2.0,1.5,1.0,2.0,30,2.6864457158188206,1003.3640100588666,491.76340653806807,491.76340653806807,0.7277377727781343
2.5,1.0,2.0,2.0,1.0,2.0,30,2.6864457158188206,1004.0470091678005,491.179746993508,491.179746993508,0.621372198234371
2.5,1.0,2.0,2.5,1.0,2.0,30,2.6864457158188206,1004.7856327963598,491.01983817891477,491.01983817891477,0.5624885012688157
1.5,1.0,2.0,2.0,1.5,2.0,40,1.7648342868641156,1013.8932123957196,493.1101362361631,493.1101362361631,0.2750291602410562
1.5,1.0,2.0,1.5,1.5,2.0,40,1.7648342868641156,1013.8932123957196,493.02399066899994,493.02399066899994,0.344583572839682
1.5,1.0,2.0,2.5,1.5,2.0,40,1.7648342868641156,1013.9523771316633,492.8207271286423,492.8207271286423,0.2372717319119554
2.0,1.0,2.0,1.5,1.5,2.0,40,1.7648342868641156,1014.5289856331635,492.4992213966221,492.4992213966221,0.26164754644359833
2.0,1.0,2.0,2.0,1.5,2.0,40,1.7648342868641156,1014.7659616775197,492.34976175799346,492.34976175799346,0.2230546828637533
2.0,1.0,2.0,2.5,1.5,2.0,40,1.7648342868641156,1015.0013387039578,492.16554534720916,492.16554534720916,0.20077928327167313
2.5,1.0,2.0,1.5,1.5,2.0,40,1.7648342868641156,1015.7844169386734,492.03020944588224,492.03020944588224,0.22239814112141634
2.5,1.0,2.0,2.0,1.5,2.0,40,1.7648342868641156,1016.1226127342115,491.68974997681266,491.68974997681266,0.19609100784123504
2.5,1.0,2.0,2.5,1.5,2.0,40,1.7648342868641156,1016.4804026175398,491.42883518811095,491.42883518811095,0.17988778565802332
1.5,1.0,2.0,1.5,1.5,2.0,30,2.6864457158188206,1034.2650744338273,491.38452852981254,491.38452852981254,0.6059760217194925
1.5,1.0,2.0,2.0,1.5,2.0,30,2.6864457158188206,1034.2650744338273,491.4480091201384,491.4480091201384,0.4662372028746619
1.5,1.0,2.0,2.5,1.5,2.0,30,2.6864457158188206,1034.2716488063352,491.4857572304029,491.4857572304029,0.39956222116116713
2.0,1.0,2.0,1.5,1.5,2.0,30,2.6864457158188206,1034.8556899369232,490.89609612257914,490.89609612257914,0.4430506264885352
2.0,1.0,2.0,2.0,1.5,2.0,30,2.6864457158188206,1035.0899368259793,491.01812953259974,491.01812953259974,0.3734449588179314
2.0,1.0,2.0,2.5,1.5,2.0,30,2.6864457158188206,1035.3225115085415,490.83215804686296,490.83215804686296,0.33468390384240637
2.5,1.0,2.0,1.5,1.5,2.0,30,2.6864457158188206,1036.1515369393323,490.61255507039635,490.61255507039635,0.3708917930433592
2.5,1.0,2.0,2.0,1.5,2.0,30,2.6864457158188206,1036.4851036618156,490.32213705825814,490.32213705825814,0.3268438041298715
2.5,1.0,2.0,2.5,1.5,2.0,30,2.6864457158188206,1036.8387546326558,490.0558126424622,490.0558126424622,0.2997209754291838
1.5,1.5,2.0,1.5,1.0,2.0,40,1.2648342868641156,1058.5174758192072,491.94017543087307,491.94017543087307,0.33404494658058553
1.5,1.5,2.0,2.0,1.0,2.0,40,1.2648342868641156,1058.5174758192072,491.70563271796146,491.70563271796146,0.26006416726493836
2.0,1.5,2.0,1.5,1.0,2.0,40,1.2648342868641156,1058.5174758192072,491.4776353468591,491.4776353468591,0.26997142586866674
2.5,1.5,2.0,1.5,1.0,2.0,40,1.2648342868641156,1058.5902121385423,491.0413835243865,491.0413835243865,0.23634417691449075
2.0,1.5,2.0,2.0,1.0,2.0,40,1.2648342868641156,1058.6681670987355,491.07869893426636,491.07869893426636,0.22315429218528884
1.5,1.5,2.0,2.5,1.0,2.0,40,1.2648342868641156,1058.742326295395,491.48362536474826,491.48362536474826,0.2225180773905618
2.5,1.5,2.0,2.0,1.0,2.0,40,1.2648342868641156,1059.1943538526023,490.532672805431,490.532672805431,0.20089394471252803
2.0,1.5,2.0,2.5,1.0,2.0,40,1.2648342868641156,1059.3385834241344,490.7632786225448,490.7632786225448,0.19621921347077656
2.5,1.5,2.0,2.5,1.0,2.0,40,1.2648342868641156,1059.974117288169,490.1319885198116,490.1319885198116,0.1800204269849211
2.0,1.5,2.0,1.5,1.0,2.0,30,2.1864457158188206,1081.175394954511,489.93865908577754,489.93865908577754,0.453596958459551
1.5,1.5,2.0,2.0,1.0,2.0,30,2.1864457158188206,1081.175394954511,490.16643767700793,490.16643767700793,0.436994857602898
